event,arg,line,offset,opcode,locals
call,,164,-1,<0>,"{'args': (NameError(""name 'ListNode' is not defined""),), 'kwargs': {}, 'app': <Flask 'hello'>, 'cors_after_request': <function make_after_request_function.<locals>.cors_after_request at 0x7fa36839c790>, 'f': <bound method Flask.handle_user_exception of <Flask 'hello'>>}"
line,,165,0,LOAD_DEREF,"{'args': (NameError(""name 'ListNode' is not defined""),), 'kwargs': {}, 'app': <Flask 'hello'>, 'cors_after_request': <function make_after_request_function.<locals>.cors_after_request at 0x7fa36839c790>, 'f': <bound method Flask.handle_user_exception of <Flask 'hello'>>}"
opcode,,165,0,LOAD_DEREF,"{'args': (NameError(""name 'ListNode' is not defined""),), 'kwargs': {}, 'app': <Flask 'hello'>, 'cors_after_request': <function make_after_request_function.<locals>.cors_after_request at 0x7fa36839c790>, 'f': <bound method Flask.handle_user_exception of <Flask 'hello'>>}"
opcode,,165,2,LOAD_DEREF,"{'args': (NameError(""name 'ListNode' is not defined""),), 'kwargs': {}, 'app': <Flask 'hello'>, 'cors_after_request': <function make_after_request_function.<locals>.cors_after_request at 0x7fa36839c790>, 'f': <bound method Flask.handle_user_exception of <Flask 'hello'>>}"
opcode,,165,4,LOAD_METHOD,"{'args': (NameError(""name 'ListNode' is not defined""),), 'kwargs': {}, 'app': <Flask 'hello'>, 'cors_after_request': <function make_after_request_function.<locals>.cors_after_request at 0x7fa36839c790>, 'f': <bound method Flask.handle_user_exception of <Flask 'hello'>>}"
opcode,,165,6,LOAD_DEREF,"{'args': (NameError(""name 'ListNode' is not defined""),), 'kwargs': {}, 'app': <Flask 'hello'>, 'cors_after_request': <function make_after_request_function.<locals>.cors_after_request at 0x7fa36839c790>, 'f': <bound method Flask.handle_user_exception of <Flask 'hello'>>}"
opcode,,165,8,LOAD_FAST,"{'args': (NameError(""name 'ListNode' is not defined""),), 'kwargs': {}, 'app': <Flask 'hello'>, 'cors_after_request': <function make_after_request_function.<locals>.cors_after_request at 0x7fa36839c790>, 'f': <bound method Flask.handle_user_exception of <Flask 'hello'>>}"
opcode,,165,10,LOAD_FAST,"{'args': (NameError(""name 'ListNode' is not defined""),), 'kwargs': {}, 'app': <Flask 'hello'>, 'cors_after_request': <function make_after_request_function.<locals>.cors_after_request at 0x7fa36839c790>, 'f': <bound method Flask.handle_user_exception of <Flask 'hello'>>}"
opcode,,165,12,CALL_FUNCTION_EX,"{'args': (NameError(""name 'ListNode' is not defined""),), 'kwargs': {}, 'app': <Flask 'hello'>, 'cors_after_request': <function make_after_request_function.<locals>.cors_after_request at 0x7fa36839c790>, 'f': <bound method Flask.handle_user_exception of <Flask 'hello'>>}"
call,,1646,-1,<0>,"{'self': <Flask 'hello'>, 'e': NameError(""name 'ListNode' is not defined"")}"
